股票代码,股票名称,总股本(股),流通股本(股),上市日期
600000,浦发银行,29352080400,28103763900,1999-11-10
600004,白云机场,2069320500,2069320500,2003-04-28
600006,东风汽车,2000000000,2000000000,1999-07-27
600007,中国国贸,1007282500,1007282500,1999-03-12
600008,首创股份,5685448199,4820614100,2000-04-27
600009,上海机场,1926958400,1093476400,1998-02-18
600010,包钢股份,45585032600,31677211600,2001-03-09
600011,华能国际,15698093400,15200383400,2001-12-06
600012,皖通高速,1658610000,1658610000,2003-01-07
600015,华夏银行,12822686700,12822686700,2003-09-12
600016,民生银行,43782418500,43782418500,2000-12-19
600017,日照港,3075653900,3075653900,2006-10-17
600018,上港集团,23173674700,23173674700,2006-10-26
600019,宝钢股份,22267915099,22101086900,2000-12-12
600020,中原高速,2247371800,2247371800,2003-08-08
600021,上海电力,2617164200,2139739300,2003-10-29
600022,山东钢铁,10946549600,10946549600,2004-06-29
600023,浙能电力,13600690000,13600690000,2013-12-19
600025,华能水电,18000000000,8928000000,2017-12-15
600026,中远海能,4032032900,4032032900,2002-05-23
600027,华电国际,9862976700,8712976700,2005-02-03
600028,中国石化,121071209600,121071209600,2001-08-08
600029,南方航空,12267172300,10689099200,2003-07-25
600030,中信证券,12116908400,12092989400,2003-01-06
600031,三一重工,7798542700,7760865600,2003-07-03
600033,福建高速,2744400000,2744400000,2001-02-09
600035,楚天高速,1728086800,1491395100,2004-03-10
600036,招商银行,25219845600,25219845600,2002-04-09
600037,歌华有线,1391777900,1391777900,2001-02-08
600038,中直股份,589476700,589476700,2000-12-18
600039,四川路桥,3610525500,3457072800,2003-03-25
600048,保利地产,11892264400,11770164300,2006-07-31
600050,中国联通,31027811700,21196596400,2002-10-09
600051,宁波联合,310880000,310880000,1997-04-10
600052,浙江广厦,871789100,871789100,1997-04-18
600053,九鼎投资,433540800,433540800,1997-04-18
600054,黄山旅游,747300000,747300000,1997-05-06
600055,万东医疗,540816200,484848000,1997-05-19
600056,中国医药,1068485500,1012136100,1997-05-15
600057,厦门象屿,2157454100,2137543800,1997-06-04
