股票代码,股票名称,总股本(股),流通股本(股),上市日期
000001,平安银行,17170411366,17170246773,1991-04-03
000002,万  科Ａ,9724196533,9715170043,1991-01-29
000004,国农科技,83976684,83013184,1990-12-01
000005,世纪星源,1058536842,951222460,1990-12-10
000006,深振业Ａ,1349995046,1347786178,1992-04-27
000007,全新好,346448044,308948044,1992-04-13
000008,神州高铁,2818329809,2544624499,1992-05-07
000009,中国宝安,2149344971,2119789066,1991-06-25
000010,美丽生态,819854713,522170348,1995-10-27
000011,深物业A,528373849,175810726,1992-03-30
000012,南  玻Ａ,1854759873,1735816386,1992-02-28
000014,沙河股份,201705187,201705187,1992-06-02
000016,深康佳Ａ,1596593800,1596574300,1992-03-27
000017,深中华A,302984965,302981008,1992-03-31
000018,神州长城,1434441780,953105041,1992-06-16
000019,深深宝Ａ,1100785974,415954636,1992-10-12
000020,深华发Ａ,181165391,181165391,1992-04-28
000021,深科技,1471259363,1470715176,1994-02-02
000022,深赤湾Ａ,464868300,464859300,1993-05-05
000023,深天地Ａ,138756240,138756240,1993-04-29
000025,特  力Ａ,270881600,270881600,1993-06-21
000026,飞亚达Ａ,357096881,356716368,1993-06-03
000027,深圳能源,3964491597,3964491597,1993-09-03
000028,国药一致,373241383,307744355,1993-08-09
000029,深深房Ａ,891660000,891591000,1993-09-15
000030,富奥股份,1762733196,1756596338,1993-09-29
000031,中粮地产,1813731596,1813722808,1993-10-08
000032,深桑达Ａ,413219661,279437184,1993-10-28
000034,神州数码,654070434,357889640,1994-05-09
000035,中国天楹,1351521423,1281089502,1994-04-08
000036,华联控股,1141487712,1135398185,1994-06-17
000037,深南电A,338908150,338894011,1994-07-01
000038,深大通,522777419,178144491,1994-08-08
000039,中集集团,1268384827,1267622301,1994-04-08
000040,东旭蓝天,1337173272,1060313364,1994-08-08
000042,中洲控股,664831139,485217180,1994-09-21
000043,中航善达,666961416,666819666,1994-09-28
000045,深纺织Ａ,461774149,457016599,1994-08-15
000046,泛海控股,5196200656,5078941596,1994-09-12
000048,*ST康达,390768671,383620540,1994-11-01
000049,德赛电池,205243738,205243738,1995-03-20
000050,深天马Ａ,2048123051,1400988944,1995-03-15
000055,方大集团,679715472,678298229,1996-04-15
000056,皇庭国际,931293708,903733208,1996-07-08
000058,深 赛 格,989194931,538034153,1996-12-26
000059,华锦股份,1599442537,1599439081,1997-01-30
000060,中金岭南,3569685327,3568181095,1997-01-23
000061,农 产 品,1696964131,1695005074,1997-01-10
000062,深圳华强,721316774,705822311,1997-01-30
000063,中兴通讯,3437169309,3433268571,1997-11-18
000065,北方国际,769505410,628943607,1998-06-05
000066,中国长城,2936165560,2490717309,1997-06-26
000068,华控赛格,1006671464,1006670564,1997-06-11
000069,华侨城Ａ,8204081415,6145851797,1997-09-10
000070,特发信息,626994746,541751563,2000-05-11
000078,海王生物,2646613257,1856654688,1998-12-18
000088,盐 田 港,1942200000,1942200000,1997-07-28
000089,深圳机场,2050769509,2050769509,1998-04-20
000090,天健集团,1437342642,928160053,1999-07-21
000096,广聚能源,528000000,510848000,2000-07-24
000099,中信海直,606070420,606070420,2000-07-31
000100,TCL 集团,13549648507,11728945216,2004-01-30
000150,宜华健康,626926827,575707316,2000-08-07
000151,中成股份,295980000,266538967,2000-09-06
000153,丰原药业,317077630,311977230,2000-09-20
000155,川能动力,1270000000,937200000,2000-09-26
000156,华数传媒,1433351902,1280295337,2000-09-06
000157,中联重科,6422371347,6225788732,2000-10-12
000158,常山北明,1652874961,1624160620,2000-07-24
000159,国际实业,481139294,481104419,2000-09-26
000166,申万宏源,22535944560,20028119193,2015-01-26
000301,东方盛虹,4029053222,1218236445,2000-05-29
000333,美的集团,6652267361,6505268851,2013-09-18
