日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,换手率(%)
2010-07-06,13.50,15.11,15.57,13.31,339683,4.92亿,-,84.92
2010-07-07,14.70,14.39,14.95,13.81,205379,2.96亿,7.54%,51.34
2010-07-08,14.13,14.24,14.58,13.80,144879,2.05亿,5.42%,36.22
2010-07-09,14.18,14.01,14.26,13.50,138298,1.93亿,5.34%,34.57
2010-07-12,13.95,14.12,14.51,13.87,99652,1.42亿,4.57%,24.91
2010-07-13,13.88,13.74,14.00,13.54,77924,1.07亿,3.26%,19.48
2010-07-14,13.73,14.09,14.26,13.72,89455,1.25亿,3.93%,22.36
2010-07-15,14.16,13.80,14.45,13.76,88924,1.26亿,4.90%,22.23
2010-07-16,13.57,13.33,13.67,13.01,80571,1.07亿,4.78%,20.14
2010-07-19,13.11,13.49,13.53,13.11,46404,6194万,3.15%,11.6
2010-07-20,13.40,13.80,13.84,13.38,62111,8495万,3.41%,15.53
2010-07-21,13.80,13.81,14.05,13.71,63779,8859万,2.46%,15.94
2010-07-22,13.73,14.00,14.04,13.66,63306,8778万,2.75%,15.83
2010-07-23,14.08,13.92,14.12,13.74,49990,6944万,2.71%,12.5
2010-07-26,14.01,14.10,14.17,13.92,51385,7222万,1.80%,12.85
2010-07-27,14.06,13.89,14.06,13.84,34436,4806万,1.56%,8.61
2010-07-28,13.80,14.89,14.98,13.79,101199,1.46亿,8.57%,25.3
2010-07-29,14.67,14.67,14.96,14.43,76501,1.12亿,3.56%,19.13
2010-07-30,14.62,15.40,15.48,14.52,99316,1.49亿,6.54%,24.83
2010-08-02,15.30,15.56,15.94,15.13,107210,1.67亿,5.26%,26.8
2010-08-03,15.62,15.09,15.66,15.00,68556,1.06亿,4.24%,17.14
2010-08-04,15.04,15.30,15.40,14.85,64577,9769万,3.64%,16.14
2010-08-05,15.32,14.93,15.42,14.83,60317,9123万,3.86%,15.08
2010-08-06,14.98,15.36,15.38,14.88,53062,8056万,3.35%,13.27
2010-08-09,15.31,15.41,15.49,15.25,53605,8230万,1.56%,13.4
2010-08-10,15.40,14.66,15.66,14.64,58095,8836万,6.62%,14.52
2010-08-11,14.60,14.85,14.97,14.60,37677,5571万,2.52%,9.42
2010-08-12,14.62,14.74,15.07,14.62,30227,4481万,3.03%,7.56
2010-08-13,14.75,15.15,15.15,14.65,33269,4965万,3.39%,8.32
2010-08-16,15.09,15.29,15.37,15.05,40529,6171万,2.11%,10.13
2010-08-17,15.28,15.31,15.42,15.18,31092,4759万,1.57%,7.77
2010-08-18,15.33,15.06,15.34,14.90,40626,6125万,2.87%,10.16
2010-08-19,15.14,15.25,15.35,14.93,39110,5931万,2.79%,9.78
2010-08-20,15.18,14.68,15.18,14.66,43991,6543万,3.41%,11
2010-08-23,14.72,14.77,14.83,14.61,27771,4086万,1.50%,6.94
2010-08-24,14.76,14.81,14.92,14.53,24884,3678万,2.64%,6.22
2010-08-25,14.69,14.72,14.93,14.63,25487,3760万,2.03%,6.37
2010-08-26,14.70,15.19,15.29,14.70,51049,7708万,4.01%,12.76
2010-08-27,15.21,15.48,15.50,15.03,64792,9937万,3.09%,16.2
2010-08-30,15.60,15.66,15.76,15.32,64802,1.01亿,2.84%,16.2
2010-08-31,15.52,15.78,15.95,15.51,63925,1.01亿,2.81%,15.98
2010-09-01,15.68,15.31,15.85,15.06,56298,8673万,5.01%,14.07
2010-09-02,15.44,16.84,16.84,15.27,112158,1.84亿,10.25%,28.04
2010-09-03,16.95,16.70,17.27,16.51,114445,1.94亿,4.51%,28.61
2010-09-06,16.60,16.20,16.76,15.98,58902,9586万,4.67%,14.73
2010-09-07,16.14,16.39,16.45,16.08,30169,4917万,2.28%,7.54
2010-09-08,16.20,16.42,16.58,16.20,30850,5071万,2.32%,7.71
2010-09-09,16.30,15.80,16.60,15.72,47615,7685万,5.36%,11.9
2010-09-10,15.78,16.13,16.27,15.57,38942,6213万,4.43%,9.74
2010-09-13,16.20,16.30,16.36,16.02,27667,4487万,2.11%,6.92
2010-09-14,16.31,15.95,16.33,15.81,32719,5240万,3.19%,8.18
2010-09-15,15.93,16.25,16.27,15.93,40240,6494万,2.13%,10.06
2010-09-16,16.25,16.20,16.32,15.78,45889,7361万,3.32%,11.47
2010-09-17,16.21,16.35,16.42,15.98,44764,7287万,2.72%,11.19
2010-09-20,16.30,15.35,16.30,15.21,40724,6415万,6.67%,10.18
2010-09-21,15.31,14.99,15.49,14.85,25550,3856万,4.17%,6.39
2010-09-27,15.06,15.19,15.29,14.91,17738,2682万,2.54%,4.43
2010-09-28,15.15,14.65,15.27,14.53,27136,4026万,4.87%,6.78
2010-09-29,14.62,14.33,14.78,14.30,18291,2661万,3.28%,4.57
2010-09-30,14.34,14.52,14.63,14.34,14613,2121万,2.02%,3.65
2010-10-08,14.53,14.83,14.94,14.43,58390,8609万,3.51%,11.68
2010-10-11,14.81,15.04,15.29,14.74,41534,6220万,3.71%,8.31
2010-10-12,15.00,14.93,15.24,14.90,32937,4945万,2.26%,6.59
2010-10-13,14.94,15.09,15.18,14.68,42795,6389万,3.35%,8.56
2010-10-14,14.94,14.27,15.09,14.22,55134,8060万,5.77%,11.03
2010-10-15,14.21,13.93,14.35,13.80,49243,6944万,3.85%,9.85
2010-10-18,13.90,14.27,14.37,13.51,36599,5087万,6.17%,7.32
2010-10-19,14.20,14.53,14.58,14.05,32644,4704万,3.71%,6.53
2010-10-20,14.25,14.29,14.46,14.17,38302,5484万,2.00%,7.66
2010-10-21,14.31,14.44,14.69,14.30,32575,4714万,2.73%,6.52
2010-10-22,14.44,14.56,14.68,14.40,30503,4449万,1.94%,6.1
2010-10-25,14.55,14.84,14.94,14.50,41352,6113万,3.02%,8.27
2010-10-26,14.77,14.72,14.93,14.60,32279,4748万,2.22%,6.46
2010-10-27,14.70,14.72,14.87,14.60,27746,4088万,1.83%,5.55
2010-10-28,14.72,14.77,14.82,14.58,27552,4055万,1.63%,5.51
2010-10-29,14.80,15.16,15.18,14.67,53932,8056万,3.45%,10.79
2010-11-01,15.17,15.27,15.39,15.16,60324,9221万,1.52%,12.06
2010-11-02,15.26,14.82,15.26,14.81,45115,6784万,2.95%,9.02
2010-11-03,14.85,14.71,14.95,14.70,23843,3536万,1.69%,4.77
2010-11-04,14.71,15.04,15.08,14.60,32412,4816万,3.26%,6.48
2010-11-05,15.09,15.20,15.28,14.91,46884,7092万,2.46%,9.38
2010-11-08,15.26,15.37,15.46,15.12,39002,5961万,2.24%,7.8
2010-11-09,15.37,15.43,15.62,15.29,44456,6874万,2.15%,8.89
2010-11-10,15.39,15.90,15.99,15.35,67812,1.07亿,4.15%,13.56
2010-11-11,15.77,15.51,15.93,15.50,52274,8242万,2.70%,10.45
2010-11-12,15.47,14.41,15.47,14.32,50373,7528万,7.41%,10.07
2010-11-15,14.42,14.72,14.77,14.42,25228,3681万,2.43%,5.05
2010-11-16,14.71,14.42,14.91,14.41,28453,4165万,3.40%,5.69
2010-11-17,14.40,14.20,14.66,14.12,16386,2361万,3.74%,3.28
2010-11-18,14.29,14.47,14.52,14.21,10557,1517万,2.18%,2.11
2010-11-19,14.50,14.72,14.72,14.37,20750,3020万,2.42%,4.15
