日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,换手率(%)
2016-08-16,10845.62,10882.95,10913.22,10845.07,261239933,401054732288,0.63%,
2016-08-17,10879.99,10890.69,10936.58,10832.78,239624650,375148658688,0.95%,
2016-08-18,10873.65,10879.20,10946.74,10834.01,254258445,378349170688,1.04%,
2016-08-19,10865.38,10872.71,10911.77,10819.80,215165100,324525314048,0.85%,
2016-08-22,10869.06,10731.40,10894.84,10731.20,214013051,326663675904,1.51%,
2016-08-23,10720.50,10750.29,10793.37,10680.10,189050806,280939106304,1.06%,
2016-08-24,10751.35,10760.44,10815.26,10732.92,183005005,280660914176,0.77%,
2016-08-25,10694.34,10679.15,10699.25,10564.36,200663096,310230683648,1.25%,
2016-08-26,10703.32,10693.75,10785.01,10675.60,187552256,298939666432,1.02%,
2016-08-29,10690.95,10724.40,10757.26,10682.26,167850184,265472581632,0.7%,
2016-08-30,10732.77,10729.12,10787.32,10713.75,165372534,258557833216,0.69%,
2016-08-31,10730.55,10757.88,10776.32,10679.65,173134787,272164528128,0.9%,
2016-09-01,10759.76,10669.51,10765.51,10669.51,179543237,277785669632,0.89%,
2016-09-02,10666.10,10640.42,10727.88,10592.08,164618268,260324352000,1.27%,
2016-09-05,10682.71,10695.45,10756.43,10674.96,163252498,248834600960,0.77%,
2016-09-06,10714.54,10861.50,10861.50,10623.99,216823933,339423559680,2.22%,
2016-09-07,10860.12,10838.72,10903.64,10827.25,232756175,353532088320,0.7%,
2016-09-08,10830.05,10851.19,10863.96,10795.87,183177098,283129843712,0.63%,
2016-09-09,10855.29,10762.79,10877.09,10762.79,195540111,299127234560,1.05%,
2016-09-12,10578.78,10461.58,10619.89,10460.51,219043244,318301220864,1.48%,
2016-09-13,10519.02,10514.58,10545.20,10460.13,163278436,244173914112,0.81%,
2016-09-14,10466.83,10454.24,10519.96,10425.69,152682921,226780856320,0.9%,
2016-09-19,10476.63,10557.25,10570.58,10476.63,142375089,212442034176,0.9%,
2016-09-20,10563.04,10544.53,10563.73,10520.08,146374595,216454598656,0.41%,
2016-09-21,10543.39,10583.40,10600.69,10538.94,144124352,217569918976,0.59%,
2016-09-22,10644.71,10662.21,10697.39,10634.46,171457114,258321584128,0.59%,
2016-09-23,10670.59,10609.70,10679.82,10607.86,165681597,248554471424,0.67%,
2016-09-26,10588.35,10392.70,10588.51,10392.70,179917734,262945280000,1.85%,
2016-09-27,10375.35,10476.97,10476.97,10352.02,148382851,217012277248,1.2%,
2016-09-28,10490.05,10467.16,10492.93,10436.12,128838323,188843302912,0.54%,
2016-09-29,10477.04,10512.25,10553.02,10477.04,137601784,200694517760,0.73%,
2016-09-30,10504.29,10567.58,10590.37,10499.47,128139197,185922437120,0.86%,
2016-10-10,10612.21,10741.69,10741.69,10584.70,185281398,278866886656,1.49%,
2016-10-11,10743.41,10782.31,10782.31,10727.45,194247880,279847657472,0.51%,
2016-10-12,10751.43,10788.59,10792.12,10733.31,182306703,265440886784,0.55%,
2016-10-13,10784.74,10787.49,10818.04,10757.49,188185774,265886965760,0.56%,
2016-10-14,10774.37,10759.68,10774.37,10692.07,178955420,259794817024,0.76%,
2016-10-17,10770.34,10651.50,10783.67,10624.82,191944732,284275961856,1.48%,
2016-10-18,10637.69,10797.02,10797.02,10637.69,191065157,287387090944,1.5%,
2016-10-19,10811.27,10757.92,10824.41,10733.69,201237048,297956483072,0.84%,
2016-10-20,10763.46,10784.33,10802.66,10752.92,195500611,297291837440,0.46%,
2016-10-21,10783.56,10748.90,10802.54,10678.12,200917345,304099332096,1.15%,
2016-10-24,10755.49,10842.64,10871.16,10740.18,210372713,313520705536,1.22%,
2016-10-25,10846.76,10871.51,10871.66,10841.20,206162614,317890428928,0.28%,
