日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,换手率(%)
2017-05-03,999.21,1009.33,1011.51,997.81,2859172,4744858368,-,
2017-05-04,1008.70,996.35,1008.70,994.21,3377502,5636196352,1.44%,
2017-05-05,1000.41,973.21,1004.82,972.04,3607174,6059040512,3.29%,
2017-05-08,967.43,944.72,967.43,943.72,3649438,5461047040,2.44%,
2017-05-09,936.37,948.18,952.49,933.61,2744331,4301600768,2%,
2017-05-10,944.08,917.16,947.88,916.46,3617827,5040485120,3.31%,
2017-05-11,908.23,913.41,917.07,888.20,4249803,5168371456,3.15%,
2017-05-12,910.49,909.81,914.77,904.71,2263290,2770068032,1.1%,
2017-05-15,911.29,908.93,916.00,907.51,1659349,2271157424,0.93%,
2017-05-16,907.58,919.31,919.66,891.18,2716156,3410968736,3.13%,
2017-05-17,918.00,922.23,931.13,915.80,2765555,3886176672,1.67%,
2017-05-18,915.10,913.67,922.85,910.69,1929245,2650001312,1.32%,
2017-05-19,913.17,910.76,916.50,906.35,1519999,1929985024,1.11%,
2017-05-22,910.61,897.29,913.55,893.27,1995725,2430717936,2.23%,
2017-05-23,894.90,870.63,898.70,869.66,2765876,3462067216,3.24%,
2017-05-24,865.92,875.91,875.91,851.08,2084794,2707375696,2.85%,
2017-05-25,874.83,885.77,887.28,865.92,2188561,2783354096,2.44%,
2017-05-26,886.43,887.88,897.13,886.43,2164327,2498517648,1.21%,
2017-05-31,895.95,889.43,900.59,889.00,1780667,2078452304,1.31%,
2017-06-01,888.88,874.94,890.91,874.61,2431337,2627692144,1.83%,
2017-06-02,872.02,885.43,886.40,865.59,2176644,2762373360,2.38%,
2017-06-05,886.25,893.09,895.87,885.75,1875082,2553772608,1.14%,
2017-06-06,893.06,898.36,901.23,890.66,1993396,2891776224,1.18%,
2017-06-07,899.24,908.97,910.12,897.27,2782565,3705339328,1.43%,
2017-06-08,909.62,907.60,914.36,906.63,2553778,3298547376,0.85%,
2017-06-09,905.48,907.85,908.40,899.07,2207530,2749397936,1.03%,
2017-06-12,905.00,890.04,905.00,888.76,2309751,2931631952,1.79%,
2017-06-13,887.08,897.72,898.24,886.88,1748928,2392547888,1.28%,
2017-06-14,896.80,903.11,907.77,896.64,2962275,4470552832,1.24%,
2017-06-15,902.22,911.80,913.84,902.22,3028450,4498634752,1.29%,
2017-06-16,911.40,916.34,919.40,907.46,2889721,4309120768,1.31%,
2017-06-19,915.55,936.74,937.20,915.48,4069855,6025887744,2.37%,
