标的证券代码,标的证券简称,本日融资余额(元),本日融资买入额(元),本日融资偿还额(元),本日融券余量,本日融券卖出量,本日融券偿还量
510010,治理ETF,23665374,411241,87637,171409,1300,63500
510050,50ETF,13862387980,178363323,231877084,31458875,84254549,88834125
510180,180ETF,2877137798,24457676,20782500,6468728,6172600,12662900
510300,300ETF,17860892596,333161905,183620908,74371098,208119317,212690927
510310,HS300ETF,642951,237142,3167859,0,0,0
510330,华夏300,96696133,1022561,6686937,2435500,220500,209500
510500,500ETF,19699928,142206,84211,1394800,10000,27000
510510,广发500,20204292,44583,0,3157100,84400,195000
510880,红利ETF,180184375,2220983,238105,512853,1328600,1311200
600000,浦发银行,7053581360,94429945,117238488,4520522,1617880,1518480
600005,武钢股份,310575561,4164208,1922696,255800,0,0
600008,首创股份,206133978,2641136,4048010,123907,306800,281500
600009,上海机场,303022615,11111288,5980749,636335,198500,159397
600010,包钢股份,1169395870,20625868,18363882,376089,900400,1001300
600011,华能国际,245225364,1857902,5894189,1528575,340800,237411
600015,华夏银行,989393853,16961615,15731848,2411848,346400,373600
600016,民生银行,4354579573,24236217,41491637,7868226,1133700,1135302
600018,上港集团,322137793,4835820,2993102,1028500,54200,33000
600019,宝钢股份,491620648,15233142,8630203,1577484,1209100,732401
600022,山东钢铁,80203570,2596812,1873045,84900,0,0
600027,华电国际,339919309,6283634,11991437,647600,293100,347000
600028,中国石化,839956630,30715681,41116367,4193571,5879879,3226419
600029,南方航空,455272082,4569565,5443856,152800,122500,1166072
600030,中信证券,4648137002,109555144,55800642,3963389,1171223,1365003
600031,三一重工,435822698,8239924,13055552,2289158,228400,209000
600036,招商银行,4357464348,41263216,51148537,3440266,1674578,1661987
600037,歌华有线,645304837,15093571,24319758,107200,107000,116600
600038,哈飞股份,351703865,18052733,18519202,51678,0,0
600039,四川路桥,200929685,7808302,8895065,18600,0,0
600048,保利地产,1731668926,72158290,52108936,4211784,1734600,1494300
600050,中国联通,1015440606,70690615,83126658,1606444,3145800,3086714
600056,中国医药,417453688,8524837,10857011,22200,0,1700
600058,五矿发展,256485151,6031689,13069715,74945,155900,192600
600059,古越龙山,255416013,16996839,12361022,218794,0,0
