 标的证券代码,标的证券简称,本日融资余额(元),本日融资买入额(元),本日融资偿还额(元),本日融券余量,本日融券卖出量,本日融券偿还量
510010,治理ETF,41948968,1374762,219625,4834132,4082369,2051858
510050,50ETF,14329266063,364647813,399604875,76972057,193395244,184802926
510180,180ETF,2954573612,105224279,45711780,27210782,39303700,39060800
510300,300ETF,26446574137,524878500,310364114,240383683,237062419,205111304
510310,HS300ETF,10844130,7864261,160467,0,0,0
510330,华夏300,118210834,67661016,7807425,3713200,597800,202900
510500,500ETF,23861372,2541733,6637343,2763220,51000,60200
510510,广发500,30700550,193523,4785538,3900600,827600,811000
510880,红利ETF,146966053,3763444,4330925,2742966,2333800,1690200
600000,浦发银行,7787623265,306605379,303158419,5089509,4299200,3931500
600005,武钢股份,404762563,43063039,38147818,1103940,89300,112400
600008,首创股份,221962240,12450660,34584217,382581,603512,594312
600009,上海机场,567620429,73127874,141290680,1035363,813123,744222
600010,包钢股份,2136437813,148729429,351264510,1269497,1495300,1630600
600011,华能国际,276256861,16080182,15095917,3044680,505188,290890
600015,华夏银行,1121917149,64688736,88152249,1923195,867082,1284497
600016,民生银行,5003817101,167702026,183360781,7231331,6484796,6292260
600018,上港集团,640994356,289373833,162033917,588100,7324500,7139800
600019,宝钢股份,388966191,7380845,14209494,3514263,793441,695227
600022,山东钢铁,197704455,21083859,16392760,495500,86400,20000
600027,华电国际,397863487,20309453,25132002,1225679,288400,202800
600028,中国石化,1161973865,159592561,116236601,2780222,1675100,2067350
600029,南方航空,438020579,18883750,33656655,740200,3115149,3113949
600030,中信证券,6073988424,585081032,570294128,5419768,8271910,8408171
600031,三一重工,548016938,73273179,56626172,2421759,3749600,3365800
600036,招商银行,4736187028,99557756,135689026,7177767,5102544,5470925
600037,歌华有线,545967826,23570211,57054465,82000,60400,53900
600038,哈飞股份,564215423,58736838,65172508,72500,17400,18500
600039,四川路桥,395981599,19621963,40017680,48200,0,0
600048,保利地产,1733591070,99832831,109557181,3603472,2745926,3038695
600050,中国联通,1042541803,84893601,74221604,4025393,1922800,1651500
600056,中国医药,463610435,28948168,36245492,5900,3000,3000
600058,五矿发展,345122334,35567637,32127228,89098,155200,207900
600059,古越龙山,361174641,32862095,27683842,133000,18900,4100
600060,海信电器,728222604,63329092,62637699,139687,231000,215300
600062,华润双鹤,334926072,39752909,44207208,144794,94800,64200
600063,皖维高新,383542632,16424896,18274870,75400,0,1800
600066,宇通客车,453250114,23922595,26348806,762888,345761,353256
600067,冠城大通,327708992,9346484,15330875,112400,0,0
600068,葛洲坝,511520732,34915115,49473679,840965,1279300,1246994
