证券代码,证券简称,融资买入额(元),融资余额(元),融券卖出量(股),融券余量(股),融券余额(元),融资融券余额(元)
1,平安银行,"103,048,882","2,849,688,675","145,600","255,984","2,250,099","2,851,938,774"
2,万  科Ａ,"30,920,827","1,806,235,384","213,200","751,613","14,453,518","1,820,688,902"
6,深振业Ａ,"47,059,010","1,213,634,932","260,000","390,000","3,186,300","1,216,821,232"
9,中国宝安,"38,330,027","2,175,291,367","151,418","307,068","2,195,536","2,177,486,903"
12,南  玻Ａ,"23,026,417","989,342,497",0,"59,100","511,806","989,854,303"
22,深赤湾Ａ,"28,073,257","314,827,789",0,"218,800","5,021,460","319,849,249"
27,深圳能源,"34,007,798","532,914,544","3,700","184,628","1,220,392","534,134,936"
28,国药一致,"8,510,116","116,837,831",200,"6,300","477,225","117,315,056"
30,富奥股份,"11,339,248","121,346,577","19,800","133,000","1,098,580","122,445,157"
31,中粮地产,"8,491,332","881,867,084",0,100,688,"881,867,772"
39,中集集团,"87,518,109","1,071,236,380","62,500","210,530","3,259,004","1,074,495,384"
43,中航地产,"5,473,393","563,890,023","2,900","21,100","183,570","564,073,593"
46,泛海控股,"3,600,849","612,410,565","11,900","258,788","2,173,819","614,584,384"
49,德赛电池,"30,499,462","309,630,666","30,600","37,864","2,107,132","311,737,798"
50,深天马Ａ,"137,149,007","1,390,223,504","78,500","128,700","2,111,967","1,392,335,471"
60,中金岭南,"31,814,771","1,538,157,939","21,900","239,886","2,305,304","1,540,463,243"
61,农 产 品,"10,720,764","924,900,902","406,009","470,551","4,258,486","929,159,388"
62,深圳华强,"220,522,618","876,099,139","2,600","73,856","2,375,209","878,474,348"
63,中兴通讯,"176,901,902","2,359,217,377","86,300","477,330","9,069,270","2,368,286,647"
69,华侨城Ａ,"28,703,564","973,998,416","3,000","546,299","4,649,004","978,647,420"
78,海王生物,"20,409,798","768,960,797",0,0,0,"768,960,797"
88,盐 田 港,"36,022,555","449,919,931","66,300","250,300","2,240,185","452,160,116"
89,深圳机场,"7,121,998","312,025,776","1,300","85,000","752,250","312,778,026"
90,天健集团,"30,652,459","288,405,912",0,0,0,"288,405,912"
99,中信海直,0,"466,826,773",0,0,0,"466,826,773"
100,TCL 集团,0,"1,712,077,681",0,"14,900","52,299","1,712,129,980"
151,中成股份,"32,761,023","680,938,768","1,000","136,000","2,437,120","683,375,888"
156,华数传媒,"15,556,606","897,615,954","13,500","19,824","282,492","897,898,446"
157,中联重科,"19,953,822","1,135,520,560","15,800","176,500","746,595","1,136,267,155"
166,申万宏源,"13,435,692","494,100,600","26,000","127,800","697,788","494,798,388"
333,美的集团,"120,569,913","1,853,514,056","47,200","337,400","12,254,368","1,865,768,424"
338,潍柴动力,"38,177,133","1,220,072,197","356,500","2,631,331","28,234,181","1,248,306,378"
400,许继电气,"10,050,125","572,406,692","6,000","62,605","1,007,314","573,414,006"
401,冀东水泥,"212,537,662","2,131,294,499","109,100","535,869","9,136,566","2,140,431,065"
402,金 融 街,"42,956,926","1,138,733,764","180,402","456,715","5,206,551","1,143,940,315"
404,华意压缩,0,"187,937,255",0,0,0,"187,937,255"
413,东旭光电,"95,860,267","3,197,916,370","82,200","381,397","3,737,691","3,201,654,061"
415,渤海金控,"14,188,064","921,862,705",0,0,0,"921,862,705"
417,合肥百货,"5,976,835","467,095,234",0,0,0,"467,095,234"
418,小天鹅Ａ,"10,988,675","100,720,683","10,540","10,590","515,733","101,236,416"
422,湖北宜化,"15,907,671","568,977,152","15,000","18,500","103,600","569,080,752"
423,东阿阿胶,"54,258,374","1,008,318,331","5,800","44,700","3,039,600","1,011,357,931"
425,徐工机械,"19,312,360","939,538,483","24,200","525,470","1,739,306","941,277,789"
426,兴业矿业,"7,719,872","473,209,577",0,"23,700","183,201","473,392,778"
488,晨鸣纸业,"30,305,971","616,249,843",200,"25,000","276,250","616,526,093"
501,鄂武商Ａ,"14,930,263","551,852,000","1,000","37,500","757,125","552,609,125"
503,海虹控股,0,"2,724,459,401",0,"111,343","2,775,781","2,727,235,182"
506,中润资源,0,"541,516,634",0,"3,200","28,000","541,544,634"
513,丽珠集团,"8,320,668","227,543,732","4,200","10,957","676,047","228,219,779"
516,国际医学,"26,081,421","991,849,348",0,0,0,"991,849,348"
525,红 太 阳,"16,062,580","375,075,281",0,0,0,"375,075,281"
528,柳    工,"16,104,218","490,702,836",0,0,0,"490,702,836"
531,穗恒运Ａ,"9,677,649","254,139,109",0,"28,000","258,440","254,397,549"
536,华映科技,"9,218,260","583,914,317",0,0,0,"583,914,317"
537,广宇发展,"13,662,423","575,977,589",0,0,0,"575,977,589"
538,云南白药,"32,231,402","406,801,342","12,900","69,537","6,368,894","413,170,236"
539,粤电力Ａ,"3,828,473","361,539,247",0,"4,700","24,487","361,563,734"
540,中天金融,"31,154,168","1,143,709,258","29,000","105,000","654,150","1,144,363,408"
541,佛山照明,"8,832,120","545,896,621","5,000","17,600","160,336","546,056,957"
543,皖能电力,"5,955,681","664,850,860",0,"1,500","8,205","664,859,065"
550,江铃汽车,"4,289,614","175,801,988","7,000","7,000","134,470","175,936,458"
551,创元科技,"10,909,817","572,660,665",0,0,0,"572,660,665"
552,靖远煤电,"5,806,555","321,098,945",0,0,0,"321,098,945"
554,泰山石油,"31,338,214","537,171,526",0,"79,978","727,800","537,899,326"
559,万向钱潮,"10,891,753","1,256,666,111","15,200","202,240","1,866,675","1,258,532,786"
563,陕国投Ａ,"55,209,435","820,767,645","311,800","311,800","1,403,100","822,170,745"
565,渝三峡Ａ,"15,727,816","165,614,937",0,0,0,"165,614,937"
566,海南海药,"15,958,587","1,131,346,310",0,"37,000","496,910","1,131,843,220"
568,泸州老窖,"42,482,732","423,958,382","58,300","292,897","14,264,084","438,222,466"
572,海马汽车,"10,178,252","501,364,608","1,600","41,500","207,085","501,571,693"
581,威孚高科,"27,146,973","767,911,599","33,600","82,300","1,741,468","769,653,067"
592,平潭发展,"16,547,413","1,027,100,177","19,100","41,100","210,021","1,027,310,198"
596,古井贡酒,"18,245,147","113,166,351","20,935","21,609","1,063,811","114,230,162"
598,兴蓉环境,"26,776,631","905,029,508","306,000","382,600","2,058,388","907,087,896"
600,建投能源,"206,578,140","790,488,477","75,000","370,000","4,650,900","795,139,377"
607,华媒控股,"11,850,400","486,167,886",0,0,0,"486,167,886"
616,海航投资,"10,815,161","775,694,257",0,"11,000","45,870","775,740,127"
623,吉林敖东,"28,949,528","1,888,771,951","15,400","169,200","4,593,780","1,893,365,731"
625,长安汽车,"42,985,941","2,120,969,832","1,900","153,600","2,104,320","2,123,074,152"
626,远大控股,"5,416,177","162,424,822",0,0,0,"162,424,822"
630,铜陵有色,"40,425,903","1,086,004,965","75,800","545,800","1,440,912","1,087,445,877"
631,顺发恒业,"1,935,929","309,779,686",0,0,0,"309,779,686"
650,仁和药业,"5,574,535","597,143,453",0,"39,976","231,061","597,374,514"
651,格力电器,"353,720,683","4,157,920,123","28,800","510,816","17,362,636","4,175,282,759"
655,金岭矿业,"8,521,997","255,908,195",0,"1,400","9,534","255,917,729"
656,金科股份,0,"499,979,580",0,"16,400","110,536","500,090,116"
661,长春高新,"51,836,152","727,712,912",800,"1,903","221,700","727,934,612"
665,湖北广电,"12,355,349","146,006,914",0,18,206,"146,007,120"
667,美好置业,"10,494,952","450,969,125","179,900","350,200","1,092,624","452,061,749"
671,阳 光 城,"13,276,199","552,606,278",400,"50,200","276,100","552,882,378"
680,山推股份,"20,750,117","532,651,442","236,800","238,500","1,247,355","533,898,797"
685,中山公用,"8,473,672","499,710,493","11,400","32,300","336,243","500,046,736"
686,东北证券,"30,130,850","1,861,130,692","20,100","42,369","392,337","1,861,523,029"
690,宝新能源,"8,221,814","631,550,495","15,200","72,600","419,628","631,970,123"
697,炼石有色,"15,168,457","1,231,981,860",0,0,0,"1,231,981,860"
700,模塑科技,"5,734,976","122,035,664",0,0,0,"122,035,664"
708,大冶特钢,"6,018,408","73,916,638",0,0,0,"73,916,638"
709,河钢股份,"244,049,689","2,219,420,264","5,255,800","39,016,942","170,504,037","2,389,924,301"
712,锦龙股份,"33,466,259","1,646,563,810","16,700","161,321","2,343,994","1,648,907,804"
718,苏宁环球,"4,800,105","861,794,022",0,"93,650","556,281","862,350,303"
719,大地传媒,"2,461,918","124,831,365",0,0,0,"124,831,365"
725,京东方Ａ,"928,890,708","6,613,459,587","902,900","3,507,200","13,958,656","6,627,418,243"
726,鲁  泰Ａ,"2,606,652","135,719,858",0,0,0,"135,719,858"
728,国元证券,"92,399,158","2,719,657,261","481,961","1,717,500","18,360,075","2,738,017,336"
729,燕京啤酒,"22,268,748","470,337,991","2,100","79,000","492,170","470,830,161"
731,四川美丰,"22,634,816","748,843,880","100,000","240,000","1,699,200","750,543,080"
732,泰禾集团,"21,276,784","359,474,713",0,"16,500","260,700","359,735,413"
738,航发控制,"19,256,413","907,801,027","62,100","175,603","3,227,583","911,028,610"
739,普洛药业,"7,602,791","322,439,219",0,0,0,"322,439,219"
750,国海证券,"32,883,282","1,819,041,783","70,300","184,700","943,817","1,819,985,600"
758,中色股份,"24,359,126","896,109,230",200,"5,300","35,086","896,144,316"
761,本钢板材,"4,505,455","189,307,465",0,0,0,"189,307,465"
762,西藏矿业,"15,865,451","854,993,984","39,600","40,091","513,566","855,507,550"
767,漳泽电力,"5,806,204","116,273,789",0,0,0,"116,273,789"
768,中航飞机,"56,606,519","1,551,456,240","109,900","514,297","8,578,474","1,560,034,714"
776,广发证券,"59,134,512","2,448,689,096","6,600","435,596","6,838,857","2,455,527,953"
777,中核科技,"17,581,769","693,930,541","25,100","25,277","492,396","694,422,937"
778,新兴铸管,"421,440,161","2,112,663,755","435,400","1,118,300","7,805,734","2,120,469,489"
783,长江证券,"20,968,437","2,033,372,501","34,700","265,098","2,248,031","2,035,620,532"
786,北新建材,"105,751,886","1,036,626,954","49,300","328,800","4,366,464","1,040,993,418"
788,北大医药,"15,542,045","418,603,570","6,300","6,387","69,746","418,673,316"
789,万年青,"26,908,923","410,058,948","38,300","38,300","253,546","410,312,494"
790,泰合健康,"17,501,178","692,940,189","5,300","5,389","44,621","692,984,810"
792,盐湖股份,"26,090,045","1,012,682,304","13,600","68,900","974,246","1,013,656,550"
793,华闻传媒,"36,978,658","1,523,565,819","110,100","265,000","2,750,700","1,526,316,519"
800,一汽轿车,"14,457,104","758,787,260","100,100","194,700","1,892,484","760,679,744"
801,四川九洲,"6,443,010","432,053,813","128,300","193,000","1,439,780","433,493,593"
807,云铝股份,"40,799,910","421,368,030","25,000","112,800","738,840","422,106,870"
811,烟台冰轮,"44,999,624","563,479,464","82,900","425,027","6,536,915","570,016,379"
812,陕西金叶,"10,658,742","480,844,159",0,65,511,"480,844,670"
816,智慧农业,"12,522,648","596,480,870",0,500,"3,415","596,484,285"
823,超声电子,"15,730,662","554,137,394","14,600","14,655","198,429","554,335,823"
825,太钢不锈,"25,098,942","766,155,395","6,000","146,200","584,800","766,740,195"
826,启迪桑德,"91,510,888","1,250,009,246","50,000","85,485","2,844,941","1,252,854,187"
828,东莞控股,"19,272,602","383,106,360",0,0,0,"383,106,360"
829,天音控股,"13,703,157","664,588,785",0,0,0,"664,588,785"
830,鲁西化工,"25,666,218","706,429,746",0,"60,500","361,185","706,790,931"
839,中信国安,"80,266,102","3,175,475,268","138,400","1,100,235","9,164,959","3,184,640,227"
848,承德露露,"6,486,029","362,124,595",0,0,0,"362,124,595"
851,高鸿股份,"19,956,744","820,189,441","10,800","10,851","93,536","820,282,977"
858,五 粮 液,"144,648,926","1,071,754,989","124,800","400,312","19,319,057","1,091,074,046"
860,顺鑫农业,"11,422,155","509,905,826",0,"1,186","22,463","509,928,289"
868,安凯客车,"5,078,236","373,971,469",0,0,0,"373,971,469"
869,张  裕Ａ,"7,228,730","263,993,913",0,"1,200","39,000","264,032,913"
876,新 希 望,"12,171,932","753,882,443","3,500","198,104","1,565,022","755,447,465"
877,天山股份,"60,634,875","803,193,779","55,000","419,974","4,993,491","808,187,270"
878,云南铜业,"43,576,777","992,784,933","30,800","37,000","419,210","993,204,143"
883,湖北能源,"4,164,683","387,300,633","2,000","2,600","12,272","387,312,905"
887,中鼎股份,0,"1,922,718,456",0,"56,500","1,253,735","1,923,972,191"
895,双汇发展,"35,944,081","557,172,950","97,000","797,895","16,979,205","574,152,155"
897,津滨发展,"15,831,492","405,167,504","282,700","576,000","2,799,360","407,966,864"
898,鞍钢股份,"16,839,744","367,503,674","2,000","65,500","334,050","367,837,724"
899,赣能股份,"2,660,400","94,129,049",0,0,0,"94,129,049"
900,现代投资,"6,812,771","273,570,154",0,0,0,"273,570,154"
901,航天科技,"9,268,372","624,926,824","4,500","4,710","118,221","625,045,045"
902,新洋丰,"5,213,961","335,381,359",0,0,0,"335,381,359"
905,厦门港务,"25,872,883","412,822,674","70,000","443,700","5,275,593","418,098,267"
915,山大华特,"45,526,753","430,223,358",0,"1,019","46,905","430,270,263"
917,电广传媒,"57,223,104","2,124,708,319","104,400","183,044","1,989,688","2,126,698,007"
921,海信科龙,"20,381,954","301,785,189","27,200","27,200","353,872","302,139,061"
926,福星股份,"11,010,140","1,183,382,951",0,"6,896","82,752","1,183,465,703"
928,中钢国际,"70,838,409","498,784,494","19,200","145,200","1,196,448","499,980,942"
930,中粮生化,"32,662,623","1,002,840,790","36,900","36,900","369,369","1,003,210,159"
937,冀中能源,"38,952,886","704,085,861","196,300","356,400","2,031,480","706,117,341"
938,紫光股份,"13,254,844","955,425,573",0,"20,000","1,008,800","956,434,373"
939,凯迪生态,"6,002,769","926,400,943","49,900","133,971","1,346,409","927,747,352"
957,中通客车,"13,340,338","295,855,366","6,300","7,300","74,533","295,929,899"
960,锡业股份,"19,680,215","1,199,110,685","26,000","29,451","326,317","1,199,437,002"
961,中南建设,"112,928,696","783,067,989","18,000","108,250","762,080","783,830,069"
963,华东医药,"43,421,747","513,694,704",700,"29,568","2,735,040","516,429,744"
966,长源电力,"3,749,178","110,877,916",0,0,0,"110,877,916"
969,安泰科技,"9,453,284","679,163,611","53,600","73,968","598,401","679,762,012"
970,中科三环,"31,723,001","1,250,952,389","42,100","99,638","1,280,348","1,252,232,737"
973,佛塑科技,"34,914,047","810,059,428","60,000","140,000","929,600","810,989,028"
975,银泰资源,"19,161,356","486,752,127",0,0,0,"486,752,127"
977,浪潮信息,"72,186,401","1,244,158,399","185,600","231,053","3,953,316","1,248,111,715"
979,中弘股份,0,"504,578,378",0,"62,300","165,718","504,744,096"
983,西山煤电,"53,022,369","697,694,623","107,700","206,138","1,541,912","699,236,535"
988,华工科技,"19,526,974","1,057,368,302","23,800","53,328","698,064","1,058,066,366"
989,九 芝 堂,"3,688,622","655,472,420","1,400","5,102","90,816","655,563,236"
996,中国中期,"25,408,020","766,717,618",0,"3,597","60,681","766,778,299"
997,新 大 陆,"89,336,069","1,329,193,295",0,"34,000","677,620","1,329,870,915"
998,隆平高科,"13,245,447","574,380,864","9,700","153,568","3,200,357","577,581,221"
999,华润三九,"17,049,027","220,655,498","4,100","70,509","2,116,680","222,772,178"
1696,宗申动力,"3,675,026","104,761,233",0,0,0,"104,761,233"
1896,豫能控股,"20,718,161","306,638,314",0,0,0,"306,638,314"
1979,招商蛇口,"91,831,368","1,828,398,298","5,000","75,900","1,467,147","1,829,865,445"
2001,新 和 成,"11,967,761","787,919,798","11,100","12,700","224,536","788,144,334"
2004,华邦健康,"7,780,078","697,495,905",0,"21,400","164,994","697,660,899"
2005,德豪润达,"17,408,805","686,943,687",0,0,0,"686,943,687"
2007,华兰生物,"14,104,980","813,580,295","2,800","47,600","1,662,667","815,242,962"
2008,大族激光,"80,599,532","1,116,799,876","114,600","195,636","6,401,210","1,123,201,086"
2011,盾安环境,"62,801,911","722,273,690","312,800","2,803,806","27,701,603","749,975,293"
2016,世荣兆业,"17,661,194","282,666,402","90,000","198,000","1,716,660","284,383,062"
2022,科华生物,"4,834,917","784,782,903","12,000","15,924","281,855","785,064,758"
2023,海特高新,"15,437,438","616,240,731","42,600","42,824","423,101","616,663,832"
2024,苏宁云商,"55,330,745","3,185,397,823","161,200","771,388","8,037,863","3,193,435,686"
2025,航天电器,0,"705,773,480",0,0,0,"705,773,480"
2028,思源电气,"8,039,184","437,097,733",0,0,0,"437,097,733"
2029,七 匹 狼,"2,550,032","557,086,456",0,100,947,"557,087,403"
2030,达安基因,"24,289,176","980,078,018",0,"5,828","109,042","980,187,060"
2032,苏 泊 尔,"8,239,211","75,362,387",0,0,0,"75,362,387"
2038,双鹭药业,"32,891,686","1,115,964,101","6,500","13,300","332,500","1,116,296,601"
2041,登海种业,"13,688,148","321,085,252","25,100","25,264","314,537","321,399,789"
2042,华孚色纺,"9,307,564","265,386,644",0,0,0,"265,386,644"
2048,宁波华翔,"29,269,922","589,248,581","7,900","9,702","191,809","589,440,390"
2049,紫光国芯,0,"796,585,363",0,"5,956","183,921","796,769,284"
2050,三花智控,"34,732,692","523,455,019","19,500","47,900","655,272","524,110,291"
2051,中工国际,"30,768,548","598,023,977","77,727","121,995","2,854,683","600,878,660"
2055,得润电子,"17,449,432","695,199,526",0,57,"1,059","695,200,585"
2056,横店东磁,"17,039,214","601,883,214","123,100","195,616","1,265,636","603,148,850"
2063,远光软件,"14,582,725","701,829,774","6,542","16,862","167,946","701,997,720"
2064,华峰氨纶,"6,375,440","330,025,104",0,0,0,"330,025,104"
2065,东华软件,"156,255,295","2,606,011,323","63,866","107,173","2,135,957","2,608,147,280"
2067,景兴纸业,"12,084,752","809,769,268",0,0,0,"809,769,268"
2071,长城影视,"8,905,007","105,725,800",0,0,0,"105,725,800"
2073,软控股份,"10,704,997","470,201,374","68,500","70,488","585,050","470,786,424"
2078,太阳纸业,"9,454,599","501,866,322","20,000","20,000","126,600","501,992,922"
2079,苏州固锝,"8,050,172","527,683,892",0,0,0,"527,683,892"
2081,金 螳 螂,"12,812,416","532,638,329","2,100","20,900","203,357","532,841,686"
2091,江苏国泰,"7,114,517","470,837,454",0,0,0,"470,837,454"
2092,中泰化学,"31,919,260","1,144,895,047","52,200","81,558","888,982","1,145,784,029"
2093,国脉科技,"8,976,838","446,934,620","15,000","15,040","123,629","447,058,249"
2095,生 意 宝,"17,988,663","494,682,510","6,200","33,325","1,033,075","495,715,585"
2099,海翔药业,"8,744,107","142,446,680",0,0,0,"142,446,680"
2104,恒宝股份,"21,743,406","927,566,565","4,800","4,842","40,673","927,607,238"
2106,莱宝高科,"28,757,606","847,911,073","9,800","58,698","554,696","848,465,769"
2108,沧州明珠,"121,910,858","1,371,394,009","62,500","158,401","3,511,750","1,374,905,759"
2117,东港股份,"63,073,835","811,785,434",0,53,"1,288","811,786,722"
2118,紫鑫药业,"5,321,584","441,059,143","11,900","11,930","76,829","441,135,972"
2128,露天煤业,0,"423,913,829",0,0,0,"423,913,829"
2129,中环股份,0,"659,338,243",0,900,"7,443","659,345,686"
2130,沃尔核材,"11,519,611","586,012,939","52,100","192,496","1,243,524","587,256,463"
2138,顺络电子,"20,507,539","527,786,181","47,091","47,326","854,234","528,640,415"
2140,东华科技,"19,171,943","362,031,177",0,"4,400","55,440","362,086,617"
2142,宁波银行,"51,766,836","627,381,390","44,200","219,440","3,879,699","631,261,089"
2146,荣盛发展,"201,646,451","1,683,847,946","75,300","632,029","6,320,290","1,690,168,236"
2148,北纬通信,"125,454,370","736,683,949","63,420","63,629","676,376","737,360,325"
2151,北斗星通,"11,070,687","475,139,372","5,400","55,584","1,467,973","476,607,345"
2152,广电运通,"16,217,387","543,731,066","39,700","49,296","569,862","544,300,928"
2153,石基信息,"4,364,661","365,711,368",0,"28,142","580,569","366,291,937"
2154,报 喜 鸟,"8,933,685","472,653,625",0,0,0,"472,653,625"
2158,汉钟精机,"250,560,130","912,468,100","50,000","255,000","4,913,850","917,381,950"
2161,远 望 谷,"12,350,132","633,499,153","12,000","130,238","1,028,880","634,528,033"
2176,江特电机,"21,623,382","1,219,540,834","8,000","8,046","69,196","1,219,610,030"
2179,中航光电,"8,535,263","517,623,237","22,339","148,270","4,127,836","521,751,073"
2181,粤 传 媒,"4,193,382","284,172,273",0,0,0,"284,172,273"
2183,怡 亚 通,"25,351,213","1,877,464,356","100,000","100,000","800,000","1,878,264,356"
2185,华天科技,"53,117,255","740,460,619","56,500","57,582","709,410","741,170,029"
2190,成飞集成,"12,072,137","500,835,279","28,900","30,056","742,684","501,577,963"
2191,劲嘉股份,"6,293,491","662,039,058",0,0,0,"662,039,058"
2202,金风科技,"20,032,101","1,047,412,740","38,200","130,700","1,918,676","1,049,331,416"
2203,海亮股份,"5,002,010","376,344,666",0,0,0,"376,344,666"
2204,大连重工,"7,061,649","372,642,256",0,"45,200","176,732","372,818,988"
2221,东华能源,"30,701,589","950,698,106",0,0,0,"950,698,106"
2223,鱼跃医疗,"17,399,701","537,209,049","7,037","17,787","595,153","537,804,202"
2229,鸿博股份,"10,937,430","536,667,691","15,900","75,950","823,298","537,490,989"
2230,科大讯飞,"107,419,864","2,498,988,621","273,688","372,300","10,536,090","2,509,524,711"
2233,塔牌集团,"65,587,795","667,687,968","182,600","345,022","3,936,701","671,624,669"
2236,大华股份,"73,963,013","626,375,811","140,700","285,566","5,394,342","631,770,153"
2237,恒邦股份,"18,824,249","660,725,946",0,"3,100","30,535","660,756,481"
2241,歌尔股份,"52,535,203","829,172,395","128,600","497,320","8,762,778","837,935,173"
2242,九阳股份,"4,041,650","380,653,079",300,300,"5,361","380,658,440"
2244,滨江集团,"23,416,788","615,093,978",0,"2,000","12,900","615,106,878"
2250,联化科技,"4,531,162","338,197,253","2,800","37,700","502,164","338,699,417"
2251,步 步 高,"16,764,645","598,009,606","50,000","50,000","589,000","598,598,606"
2252,上海莱士,0,"720,772,218",0,"304,640","6,175,051","726,947,269"
2261,拓维信息,"12,578,067","795,458,246","39,700","50,400","572,544","796,030,790"
2262,恩华药业,"17,907,404","325,166,013",0,0,0,"325,166,013"
2266,浙富控股,"10,360,893","771,655,496",0,0,0,"771,655,496"
2267,陕天然气,"8,438,124","251,884,312",0,"100,000","822,000","252,706,312"
2268,卫 士 通,"17,611,304","1,395,059,276","12,500","27,537","790,312","1,395,849,588"
2269,美邦服饰,"7,234,226","248,056,022",0,"31,000","116,870","248,172,892"
2271,东方雨虹,"21,653,001","181,891,559","16,900","16,932","552,660","182,444,219"
2273,水晶光电,"33,464,773","1,134,578,012",0,20,414,"1,134,578,426"
2275,桂林三金,"3,805,626","291,539,068","1,000","4,500","79,290","291,618,358"
2276,万马股份,"18,544,372","1,127,037,930","65,300","65,300","666,060","1,127,703,990"
2277,友阿股份,"12,467,004","710,835,267","32,500","32,500","200,850","711,036,117"
2281,光迅科技,"36,890,403","1,251,175,713","3,000","3,005","63,616","1,251,239,329"
2285,世联行,"10,035,176","378,269,318","47,680","70,980","509,636","378,778,954"
2287,奇正藏药,"10,470,460","265,786,829",800,"78,984","2,988,755","268,775,584"
2292,奥飞娱乐,"15,953,871","982,578,350","44,800","62,150","901,175","983,479,525"
2293,罗莱生活,"4,955,008","188,195,979",0,"2,800","30,380","188,226,359"
2294,信立泰,"26,461,205","460,125,715",0,"67,100","2,093,520","462,219,235"
2299,圣农发展,"6,632,789","360,003,299","1,600","6,900","92,460","360,095,759"
2302,西部建设,"87,800,613","399,518,287","6,000","444,000","7,277,160","406,795,447"
2304,洋河股份,"29,947,548","257,453,988","23,508","72,905","6,299,720","263,753,708"
2307,北新路桥,"143,844,152","670,466,487","87,100","375,100","5,847,809","676,314,296"
2308,威创股份,"11,229,081","489,869,844","40,700","40,751","489,012","490,358,856"
2310,东方园林,"111,398,297","1,378,345,475","205,774","494,004","8,230,107","1,386,575,582"
2311,海大集团,"1,302,333","84,412,289",0,0,0,"84,412,289"
2313,日海通讯,"8,477,778","748,165,149","18,000","23,110","425,224","748,590,373"
2317,众生药业,"2,979,326","474,204,695",0,0,0,"474,204,695"
2318,久立特材,"15,618,424","594,671,069",0,"3,100","24,614","594,695,683"
2325,洪涛股份,"8,996,082","689,316,275",0,0,0,"689,316,275"
2340,格林美,"40,366,972","1,601,721,789",100,620,"3,162","1,601,724,951"
2344,海宁皮城,"9,004,984","519,271,679",100,"1,200","9,720","519,281,399"
2353,杰瑞股份,"67,035,734","878,205,942",200,"39,000","614,250","878,820,192"
2355,兴民智通,"23,898,669","388,994,873",0,0,0,"388,994,873"
2367,康力电梯,"10,114,781","172,261,920",0,0,0,"172,261,920"
2368,太极股份,"15,118,478","508,701,295","9,500","10,396","269,568","508,970,863"
2369,卓翼科技,"6,966,942","664,332,746",0,73,562,"664,333,308"
2371,北方华创,"13,986,561","455,986,539",0,0,0,"455,986,539"
2372,伟星新材,"7,664,684","133,263,976",0,0,0,"133,263,976"
2375,亚厦股份,"27,367,169","612,704,909",0,"49,806","424,347","613,129,256"
2378,章源钨业,"14,640,427","566,733,159",0,"19,999","171,391","566,904,550"
